config_id,sweep,model,strategy,seed,dataset,use_additive_normalization,last_epoch,test_accuracy,train_accuracy,valid_accuracy
config_0,sweep_neurips_additive_norm_20260225142220,dendritic_additive,standard,42,mnist,False,200,0.8970999717712402,0.972000002861023,0.8929259181022644
config_1,sweep_neurips_additive_norm_20260225142220,dendritic_additive,standard,43,mnist,False,200,0.8991999626159668,0.9754999876022339,0.8923333287239075
config_10,sweep_neurips_additive_norm_20260225142220,dendritic_additive,standard,42,mnist,True,200,0.9035999774932861,0.987500011920929,0.8986110687255859
config_11,sweep_neurips_additive_norm_20260225142220,dendritic_additive,standard,43,mnist,True,200,0.9129999876022339,0.9851666688919067,0.9038703441619873
config_12,sweep_neurips_additive_norm_20260225142220,dendritic_additive,standard,44,mnist,True,200,0.9085999727249146,0.9825000166893005,0.9003888964653015
config_13,sweep_neurips_additive_norm_20260225142220,dendritic_additive,standard,45,mnist,True,200,0.9065999984741211,0.9838333129882812,0.9024999737739563
config_14,sweep_neurips_additive_norm_20260225142220,dendritic_additive,standard,46,mnist,True,200,0.911799967288971,0.9836666584014893,0.9030370116233826
config_15,sweep_neurips_additive_norm_20260225142220,dendritic_additive,local_ca,42,mnist,True,200,0.5546000003814697,0.5463333129882812,0.5460370182991028
config_16,sweep_neurips_additive_norm_20260225142220,dendritic_additive,local_ca,43,mnist,True,200,0.4887000024318695,0.4925000071525574,0.48553702235221863
config_17,sweep_neurips_additive_norm_20260225142220,dendritic_additive,local_ca,44,mnist,True,200,0.5521999597549438,0.54666668176651,0.5534629225730896
config_18,sweep_neurips_additive_norm_20260225142220,dendritic_additive,local_ca,45,mnist,True,200,0.5888999700546265,0.5740000009536743,0.5762407183647156
config_19,sweep_neurips_additive_norm_20260225142220,dendritic_additive,local_ca,46,mnist,True,200,0.6157000064849854,0.6026666760444641,0.5977592468261719
config_2,sweep_neurips_additive_norm_20260225142220,dendritic_additive,standard,44,mnist,False,200,0.9003999829292297,0.9733332991600037,0.898888885974884
config_3,sweep_neurips_additive_norm_20260225142220,dendritic_additive,standard,45,mnist,False,200,0.8940999507904053,0.9741666316986084,0.8914999961853027
config_4,sweep_neurips_additive_norm_20260225142220,dendritic_additive,standard,46,mnist,False,200,0.8966999650001526,0.9716666340827942,0.8941296339035034
config_5,sweep_neurips_additive_norm_20260225142220,dendritic_additive,local_ca,42,mnist,False,200,0.4648999869823456,0.44566667079925537,0.4519444406032562
config_6,sweep_neurips_additive_norm_20260225142220,dendritic_additive,local_ca,43,mnist,False,200,0.3911999762058258,0.39649999141693115,0.40012961626052856
config_7,sweep_neurips_additive_norm_20260225142220,dendritic_additive,local_ca,44,mnist,False,200,0.4578000009059906,0.4373333156108856,0.4419814646244049
config_8,sweep_neurips_additive_norm_20260225142220,dendritic_additive,local_ca,45,mnist,False,200,0.4732999801635742,0.4661666750907898,0.4669814705848694
config_9,sweep_neurips_additive_norm_20260225142220,dendritic_additive,local_ca,46,mnist,False,200,0.5383999943733215,0.5454999804496765,0.5461481213569641
